activo_id,tipo,nombre,criticidad_cid,propietario,proceso,capa,nivel_jerarquia,valor_estrategico_pct,detalle,descripcion,custodio,area,padre_principal,origen,confidencialidad,integridad,disponibilidad,justificacion_cid,marco_aplicable
DI-05,Informacion,Pedidos y órdenes de compra,4,Juan Castillo,Venta Online,2,2,,Información,"Órdenes generadas, estados, asignación a CD, tracking de envíos.",Diego Sosa,GERENCIA GENERAL,PN-01,Nuevo,3,4,4,Filtración revela hábitos de consumo. Adulteración genera fraudes y entregas erradas. Indisponibilidad paraliza la operación.,"Ley 25.326, Defensa del Consumidor"
DI-06,Informacion,Historial de compras,3,Juan Castillo,Atención al Cliente y Postventa,2,2,,Información,"Histórico transaccional por cliente, base para BI y motor de recomendaciones.",Diego Sosa,GERENCIA GENERAL,PN-04,Nuevo,3,3,2,Información sensible para perfilamiento. Útil para BI pero no operativa en tiempo real.,Ley 25.326
DI-07,Informacion,Datos de proveedores,3,Laura Mendez,Gestión de Catálogo y Stock,2,2,,Información,"Datos de contacto, condiciones comerciales, contratos de provisión de productos.",Diego Sosa,GERENCIA DE FINANZAS,PN-05,Nuevo,3,3,3,Condiciones comerciales confidenciales. Adulteración afecta pagos. Indisponibilidad demora compras.,Cláusulas NDA
DI-08a,Informacion,Legajos digitales del personal,4,Susana Ortiz,Gestión de Personal y Liquidación,2,2,,Información,Información utilizada por el proceso de nómina y pagos.,Martín Rojas,GERENCIA DE RRHH,PN-06,Preexistente,4,4,3,"Datos personales sensibles del staff. Filtración expone evaluaciones, salarios e historia laboral. Ley 25.326 + LCT.","Ley 25.326, LCT"
DI-08b,Informacion,Datos bancarios y CBU de empleados,4,Susana Ortiz,Gestión de Personal y Liquidación,2,2,,Información,Información bancaria del personal para acreditación de haberes.,Paula Ferreira,GERENCIA DE RRHH,PN-06,Preexistente,4,4,3,Información bancaria altamente sensible. Adulteración genera acreditaciones erradas y posible fraude.,"Ley 25.326, BCRA"
DI-08c,Informacion,Novedades mensuales de liquidación,4,Susana Ortiz,Gestión de Personal y Liquidación,2,2,,Información,"Cambios de sueldo, ausencias, horas extra, premios procesados mensualmente.",Diego Sosa,GERENCIA DE RRHH,PN-06,Preexistente,3,4,4,Adulteración configura fraude laboral o tributario. Indisponibilidad atrasa la liquidación.,"Ley 25.326, AFIP, LCT"
DI-08d,Informacion,Recibos de sueldo digitales,4,Susana Ortiz,Gestión de Personal y Liquidación,2,2,,Información,Recibos firmados digitalmente que se entregan al empleado mes a mes.,Diego Sosa,GERENCIA DE RRHH,PN-06,Preexistente,3,4,3,Documento legal con firma digital. Adulteración tiene impacto laboral y penal.,"LCT, Ley 25.506 (Firma Digital)"
DI-09,Informacion,Información financiera y contable,4,Laura Mendez,Gestión de Pagos,2,2,,Información,"Libros contables, balances, IVA, ganancias, flujo de caja. Cumplimiento AFIP.",Diego Sosa,GERENCIA DE FINANZAS,PN-02,Nuevo,4,4,4,"Datos sensibles para AFIP, accionistas y auditoría. Adulteración configura delito tributario. Indisponibilidad afecta cierres contables.","Ley 27.430 (Penal Tributaria), AFIP"
DI-10,Informacion,Logs de auditoría y seguridad,4,Paula Ferreira,Atención al Cliente y Postventa,2,2,,Información,"Registros de acceso, eventos del SIEM, trazabilidad para soporte forense.",Martín Rojas,GESTION DE TECNOLOGIA,PN-04,Nuevo,4,4,3,Soporte forense y de auditoría. Adulteración invalida la evidencia. Confidencialidad alta porque revela vulnerabilidades.,ISO 27001 A.8.15
AP-01,Aplicacion,Plataforma E-commerce (Web Pública),4,Paula Ferreira,Venta Online,3,3,,Aplicaciones Propias,Frontend + backend del sitio. Desarrollo a medida sobre Magento/Vtex.,Diego Sosa,GESTION DE TECNOLOGIA,"DI-01, DI-03, DI-05",Nuevo,,,,,
AP-02,Aplicacion,ERP / Backoffice,4,Paula Ferreira,Gestión de Catálogo y Stock,3,3,,Aplicaciones Adquiridas,SAP Business One u Oracle NetSuite. Núcleo administrativo de la organización.,Diego Sosa,GESTION DE TECNOLOGIA,"DI-04, DI-07, DI-09",Nuevo,,,,,
AP-03,Aplicacion,CRM Atención al Cliente,4,Paula Ferreira,Venta Online,3,3,,Aplicaciones Adquiridas,"Zendesk / Salesforce Service Cloud para tickets, casos y NPS.",Diego Sosa,GESTION DE TECNOLOGIA,"DI-01, DI-06",Nuevo,,,,,
AP-04,Aplicacion,Pasarela de Pagos,4,Laura Mendez,Gestión de Pagos,3,3,,Aplicaciones Adquiridas,Integración con MercadoPago / Decidir / Prisma. Sujeta a PCI-DSS.,Diego Sosa,GERENCIA DE FINANZAS,DI-02,Nuevo,,,,,
AP-05,Aplicacion,WMS — Sistema de Gestión de Almacenes,4,Paula Ferreira,Gestión de Catálogo y Stock,3,3,,Aplicaciones Adquiridas,"Manhattan / Mecalux WMS para los 3 CDs. Picking, packing, recepción.",Diego Sosa,GESTION DE TECNOLOGIA,DI-04,Nuevo,,,,,
AP-06,Aplicacion,TMS — Sistema de Gestión de Transporte,4,Paula Ferreira,Venta Online,3,3,,Aplicaciones Adquiridas,"Ruteo, asignación de transportistas, tracking de entregas.",Diego Sosa,GESTION DE TECNOLOGIA,DI-05,Nuevo,,,,,
AP-07,Aplicacion,Plataforma de Email Marketing,4,Paula Ferreira,Venta Online,3,3,,Aplicaciones Adquiridas,Mailchimp / Doppler para campañas y notificaciones transaccionales.,Diego Sosa,GESTION DE TECNOLOGIA,DI-01,Nuevo,,,,,
AP-08,Aplicacion,Sistema Contable,4,Laura Mendez,Gestión de Pagos,3,3,,Aplicaciones Adquiridas,Tango Gestión / Bejerman para liquidación contable e impuestos.,Diego Sosa,GERENCIA DE FINANZAS,DI-09,Nuevo,,,,,
AP-09,Aplicacion,Sistema de RRHH,4,Susana Ortiz,Gestión de Personal y Liquidación,3,3,,Aplicaciones Adquiridas,Bumeran/Meta4 para liquidación de sueldos y administración de legajos.,Martín Rojas,GERENCIA DE RRHH,"DI-08a, DI-08b, DI-08c, DI-08d",Nuevo,,,,,
AP-10,Aplicacion,Plataforma de BI / Analytics,4,Paula Ferreira,Atención al Cliente y Postventa,3,3,,Aplicaciones Propias,Power BI + Data Warehouse propio para reporting ejecutivo y motor de recomendaciones.,Diego Sosa,GESTION DE TECNOLOGIA,"DI-06, DI-10",Nuevo,,,,,
SV-01,Servidor,Servidor Web Frontend (Cluster),4,Paula Ferreira,Venta Online,4,5,,Servidores,Cluster de 3 servidores Nginx/Apache en frontal público.,Diego Sosa,GESTION DE TECNOLOGIA,AP-01,Nuevo,,,,,
SV-02,Servidor,Servidor de Aplicaciones (App Server),4,Paula Ferreira,Venta Online,4,5,,Servidores,Cluster de servidores que ejecutan la lógica de negocio (Java/Node).,Diego Sosa,GESTION DE TECNOLOGIA,"AP-01,02,05,06,08,09,10",Nuevo,,,,,
SV-03,Servidor,BD Producción E-commerce,4,Paula Ferreira,Venta Online,4,5,,Sistema Gestor de BD,Oracle/PostgreSQL — datos transaccionales del sitio. Crítico para la operación.,Martín Rojas,GESTION DE TECNOLOGIA,AP-01,Nuevo,,,,,
SV-04,Servidor,BD Réplica DR,4,Paula Ferreira,Venta Online,4,5,,Sistema Gestor de BD,Réplica sincrónica para Disaster Recovery en sitio alterno.,Martín Rojas,GESTION DE TECNOLOGIA,AP-01,Nuevo,,,,,
SV-05,Servidor,BD ERP / Contable / RRHH,4,Paula Ferreira,Gestión de Catálogo y Stock,4,5,,Sistema Gestor de BD,Base de datos consolidada del backoffice.,Martín Rojas,GESTION DE TECNOLOGIA,"AP-02, AP-08, AP-09",Nuevo,,,,,
SV-06,Servidor,BD CRM,4,Paula Ferreira,Venta Online,4,5,,Sistema Gestor de BD,BD del sistema CRM con histórico de tickets y casos.,Martín Rojas,GESTION DE TECNOLOGIA,AP-03,Nuevo,,,,,
SV-07,Servidor,Servidor de Caché Redis,4,Paula Ferreira,Venta Online,4,5,,Servidores,Caché en memoria del e-commerce para sesiones y carrito.,Diego Sosa,GESTION DE TECNOLOGIA,AP-01,Nuevo,,,,,
SV-08,Servidor,Servidor de Email Corporativo,4,Paula Ferreira,Venta Online,4,5,,Servidores,MS Exchange / Google Workspace para correo interno y marketing.,Diego Sosa,GESTION DE TECNOLOGIA,AP-07,Nuevo,,,,,
SV-09,Servidor,Servidor de Backup,4,Paula Ferreira,Venta Online,4,5,,Servidores,NAS de respaldos con esquema GFS (Grandfather-Father-Son).,Martín Rojas,GESTION DE TECNOLOGIA,"SV-03, SV-05, SV-06",Nuevo,,,,,
SV-10,Servidor,Servidor de Logs / SIEM,4,Paula Ferreira,Atención al Cliente y Postventa,4,5,,Servidores,Splunk/Wazuh para correlación de eventos y alertas de seguridad.,Martín Rojas,GESTION DE TECNOLOGIA,DI-10,Nuevo,,,,,
SV-11,Servidor,Servidor Antivirus / EDR,4,Paula Ferreira,Venta Online,4,5,,Servidores,Consola central de EDR/AV para todos los equipos.,Diego Sosa,GESTION DE TECNOLOGIA,"AP-01, AP-02",Nuevo,,,,,
SV-12,Servidor,Servidor DNS / DHCP,4,Paula Ferreira,Venta Online,4,5,,Servidores,Servicios de red interna y resolución de nombres.,Diego Sosa,GESTION DE TECNOLOGIA,"SV-01, SV-02",Nuevo,,,,,
