control_id,nivel_madurez,valor,madurez_desc,aspecto_clave,credibilidad,cumplimiento,evidencia,entrevistado,fecha,hallazgo,observaciones,fuente,objetivo_negocio,interpretacion
5.11,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Devolución de activos: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Juan Castillo,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gestion de activos, clasificacion y tratamiento.",TP1,"Proteger datos criticos de clientes, pagos, stock, RRHH y registros.","El grafico debe leerse contra proteger datos criticos de clientes, pagos, stock, rrhh y registros."
5.12,4,0.85,4 - Cuantitativo,Indicadores,Alta,1.0,Clasificacion CID realizada sobre los 13 activos de informacion con justificacion y marco aplicable.,Juan Castillo,2026-06-04,Control fuerte para el contexto actual; sostener evidencia y periodicidad de revision.,"Mantener como base del tablero y usarlo para acelerar Gestion de activos, clasificacion y tratamiento.",TP1,"Proteger datos criticos de clientes, pagos, stock, RRHH y registros.","El grafico debe leerse contra proteger datos criticos de clientes, pagos, stock, rrhh y registros."
5.13,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Etiquetado de información: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Juan Castillo,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gestion de activos, clasificacion y tratamiento.",TP1,"Proteger datos criticos de clientes, pagos, stock, RRHH y registros.","El grafico debe leerse contra proteger datos criticos de clientes, pagos, stock, rrhh y registros."
5.14,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Transferencia de información: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Juan Castillo,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gestion de activos, clasificacion y tratamiento.",TP1,"Proteger datos criticos de clientes, pagos, stock, RRHH y registros.","El grafico debe leerse contra proteger datos criticos de clientes, pagos, stock, rrhh y registros."
5.15,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Control de acceso: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de IAM, MFA y segregacion de funciones.",TP1,"Reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos.","El grafico debe leerse contra reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos."
5.16,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Gestión de identidad: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de IAM, MFA y segregacion de funciones.",TP1,"Reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos.","El grafico debe leerse contra reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos."
5.17,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Información de autenticación: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de IAM, MFA y segregacion de funciones.",TP1,"Reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos.","El grafico debe leerse contra reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos."
5.18,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Derechos de acceso: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de IAM, MFA y segregacion de funciones.",TP1,"Reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos.","El grafico debe leerse contra reducir fraude, abuso de privilegios y accesos indebidos a sistemas criticos."
5.19,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"SI en las relaciones con los proveedores: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Laura Mendez,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.20,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Abordar la SI en acuerdos con proveedores: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Laura Mendez,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.21,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Gestión de la SI en la cadena de suministro de las TIC: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Laura Mendez,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.22,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Seguimiento, revisión y gestión de cambios de servicios de proveedores: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Laura Mendez,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.23,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"SI para el uso de servicios en la nube: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Laura Mendez,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.24,1,0.05,1 - Inicial,Esfuerzo personal,Alta,1.0,Los incidentes se atienden por canales operativos informales; no hay playbook aprobado ni matriz de escalamiento.,Diego Sosa,2026-06-04,Control inicial y reactivo; alta dependencia de personas y bajo respaldo documental.,"Tratar como brecha prioritaria dentro de Incidentes, SIEM, logs y evidencia digital.",TP1,"Detectar, clasificar y responder eventos con trazabilidad y evidencia.","El grafico debe leerse contra detectar, clasificar y responder eventos con trazabilidad y evidencia."
5.25,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Evaluación y decisión sobre eventos de SI: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Incidentes, SIEM, logs y evidencia digital.",TP1,"Detectar, clasificar y responder eventos con trazabilidad y evidencia.","El grafico debe leerse contra detectar, clasificar y responder eventos con trazabilidad y evidencia."
5.26,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Respuesta a incidentes de SI: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Incidentes, SIEM, logs y evidencia digital.",TP1,"Detectar, clasificar y responder eventos con trazabilidad y evidencia.","El grafico debe leerse contra detectar, clasificar y responder eventos con trazabilidad y evidencia."
5.27,1,0.05,1 - Inicial,Esfuerzo personal,Alta,1.0,Aprendizaje de los incidentes de SI: tratamiento reactivo dependiente del esfuerzo de custodios tecnicos.,Diego Sosa,2026-06-04,Control inicial y reactivo; alta dependencia de personas y bajo respaldo documental.,"Tratar como brecha prioritaria dentro de Incidentes, SIEM, logs y evidencia digital.",TP1,"Detectar, clasificar y responder eventos con trazabilidad y evidencia.","El grafico debe leerse contra detectar, clasificar y responder eventos con trazabilidad y evidencia."
5.28,1,0.05,1 - Inicial,Esfuerzo personal,Alta,1.0,No se evidencio procedimiento de cadena de custodia ni preservacion forense para logs o evidencia digital.,Diego Sosa,2026-06-04,Control inicial y reactivo; alta dependencia de personas y bajo respaldo documental.,"Tratar como brecha prioritaria dentro de Incidentes, SIEM, logs y evidencia digital.",TP1,"Detectar, clasificar y responder eventos con trazabilidad y evidencia.","El grafico debe leerse contra detectar, clasificar y responder eventos con trazabilidad y evidencia."
5.29,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"SI durante una disrrupción: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Continuidad, backups y recuperacion.",TP1,"Sostener venta online, pagos y backoffice ante fallas o interrupciones.","El grafico debe leerse contra sostener venta online, pagos y backoffice ante fallas o interrupciones."
5.30,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Preparación de las TIC para la continuidad de negocio: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Continuidad, backups y recuperacion.",TP1,"Sostener venta online, pagos y backoffice ante fallas o interrupciones.","El grafico debe leerse contra sostener venta online, pagos y backoffice ante fallas o interrupciones."
5.31,4,0.85,4 - Cuantitativo,Indicadores,Alta,1.0,"Identificación de requisitos legales, estatutarios, reglamentarios y contractuales: existen evidencias documentadas en TP1 y seguimiento con indicadores basicos.",Laura Mendez,2026-06-04,Control fuerte para el contexto actual; sostener evidencia y periodicidad de revision.,"Mantener como base del tablero y usarlo para acelerar Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.32,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Derechos de propiedad intelectual: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Laura Mendez,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.33,4,0.85,4 - Cuantitativo,Indicadores,Alta,1.0,Protección de registros: existen evidencias documentadas en TP1 y seguimiento con indicadores basicos.,Juan Castillo,2026-06-04,Control fuerte para el contexto actual; sostener evidencia y periodicidad de revision.,"Mantener como base del tablero y usarlo para acelerar Gestion de activos, clasificacion y tratamiento.",TP1,"Proteger datos criticos de clientes, pagos, stock, RRHH y registros.","El grafico debe leerse contra proteger datos criticos de clientes, pagos, stock, rrhh y registros."
5.34,4,0.85,4 - Cuantitativo,Indicadores,Alta,1.0,"Los activos DI-01, DI-02 y DI-08 registran datos personales, pago y RRHH bajo Ley 25.326, PCI-DSS y LCT.",Laura Mendez,2026-06-04,Control fuerte para el contexto actual; sostener evidencia y periodicidad de revision.,"Mantener como base del tablero y usarlo para acelerar Proveedores, cloud, privacidad y PCI-DSS.",TP1,"Cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos.","El grafico debe leerse contra cumplir obligaciones sobre proveedores, servicios cloud, privacidad y pagos."
5.35,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Revisión independiente de SI: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.36,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Cumplimiento de políticas y estándares de SI: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Diego Sosa,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.","Priorizar normalizacion y evidencias dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
5.37,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Procedimientos operativos documentados: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Diego Sosa,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Gobierno SGSI, politicas y RACI.",TP1,Alinear seguridad con direccion y habilitar gobierno medible del SGSI.,El grafico debe leerse contra alinear seguridad con direccion y habilitar gobierno medible del sgsi.
6.1,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Verificación de antecedentes (screening): buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Susana Ortiz,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Concientizacion y ciclo de vida RRHH.,TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
6.2,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Términos y condiciones de empleo: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Susana Ortiz,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Concientizacion y ciclo de vida RRHH.",TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
6.3,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"La concientizacion existe como induccion inicial, pero no hay programa anual ni medicion de efectividad.",Susana Ortiz,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Concientizacion y ciclo de vida RRHH.,TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
6.4,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Proceso disciplinario: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Susana Ortiz,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Concientizacion y ciclo de vida RRHH.",TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
6.5,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Responsabilidades tras la desvinculación o cambio de empleo: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Susana Ortiz,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Concientizacion y ciclo de vida RRHH.,TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
6.6,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Acuerdos de confidencialidad o no divulgación: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Susana Ortiz,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Concientizacion y ciclo de vida RRHH.",TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
6.7,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Trabajo remoto: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Susana Ortiz,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Concientizacion y ciclo de vida RRHH.,TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
6.8,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Reporte de eventos de SI: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Susana Ortiz,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Concientizacion y ciclo de vida RRHH.",TP1,"Mejorar conducta segura del personal durante ingreso, operacion y egreso.","El grafico debe leerse contra mejorar conducta segura del personal durante ingreso, operacion y egreso."
7.1,4,0.85,4 - Cuantitativo,Indicadores,Alta,1.0,TP1 declara operacion web 24/7 y 3 centros de distribucion; las areas criticas estan identificadas.,Juan Castillo,2026-06-04,Control fuerte para el contexto actual; sostener evidencia y periodicidad de revision.,Mantener como base del tablero y usarlo para acelerar Seguridad fisica de oficinas y centros de distribucion.,TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.2,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Ingresos físicos: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Juan Castillo,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Seguridad fisica de oficinas y centros de distribucion.",TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.3,3,0.6,3 - Definido,Procedimientos,Alta,1.0,"Asegurar oficinas, salas e instalaciones: practica definida y documentada parcialmente para los procesos criticos de e-commerce.",Juan Castillo,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Seguridad fisica de oficinas y centros de distribucion.",TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.4,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Hay controles fisicos basicos en oficinas y centros, pero no monitoreo continuo homologado entre sedes.",Juan Castillo,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Seguridad fisica de oficinas y centros de distribucion.,TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.5,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Protección contra amenazas físicas y ambientales: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Juan Castillo,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Seguridad fisica de oficinas y centros de distribucion.,TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.6,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Trabajo en áreas seguras: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Juan Castillo,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Seguridad fisica de oficinas y centros de distribucion.,TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.7,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Escritorio despejado y pantalla limpia: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Juan Castillo,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Seguridad fisica de oficinas y centros de distribucion.,TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.8,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Ubicación y protección de equipos: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Juan Castillo,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Seguridad fisica de oficinas y centros de distribucion.",TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.9,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Seguridad de los activos fuera de las instalaciones: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Juan Castillo,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Seguridad fisica de oficinas y centros de distribucion.,TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.10,2,0.15,2 - Gestionado,Buenas practicas,Alta,1.0,"Medios de almacenamiento: buenas practicas operativas aplicadas, sin normalizacion corporativa completa.",Martin Rojas,2026-06-04,"Control gestionado de forma parcial; falta formalizacion, evidencia o alcance completo.",Priorizar normalizacion y evidencias dentro de Seguridad fisica de oficinas y centros de distribucion.,TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.11,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Instalaciones de soporte: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Martin Rojas,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Seguridad fisica de oficinas y centros de distribucion.",TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
7.12,3,0.6,3 - Definido,Procedimientos,Alta,1.0,Seguridad del cableado: practica definida y documentada parcialmente para los procesos criticos de e-commerce.,Martin Rojas,2026-06-04,"Control definido, con oportunidad de medicion y cobertura transversal.","Agregar indicadores, responsables y revision periodica dentro de Seguridad fisica de oficinas y centros de distribucion.",TP1,"Proteger oficinas, centros de distribucion, equipamiento y soportes fisicos.","El grafico debe leerse contra proteger oficinas, centros de distribucion, equipamiento y soportes fisicos."
